K2 MAC Lookup,K2 Host Name,K2 IP Address,Labstats Host Name VS K2 MAC,Labstats IP Address VS K2 MAC,IP MissMatch,Name Match,Column1,Column2,Column3
68:5B:35:D5:1D:C8,W10-FLOR-FALL16,10.208.60.122,nyu-florence-colletta-imac-02.local,193.206.104.186,No Match,No Match,0E:02:17:11:5B:9E-0E:D8:3C:72:40:D0,0E:02:17:11:5B:9E,#VALUE!
34:17:EB:B1:EC:1D,UDIADMI-K75KEMG,128.122.133.68,ITS9100WK-W10,172.22.44.39,No Match,No Match,06:86:1A:64:A0:A2-06:8D:1F:82:07:AE,06:86:1A:64:A0:A2,#VALUE!
00:50:56:B1:00:AA,ITS800-WAP-XA06,128.122.215.101,#N/A,#N/A,#N/A,#N/A,06:5A:4B:5A:95:EA-06:AD:62:F3:4A:24,06:5A:4B:5A:95:EA,#VALUE!
00:50:56:B1:00:B0,ITS800-WAP-XA07,128.122.215.102,#N/A,#N/A,#N/A,#N/A,06:45:AC:10:FB:7E-06:55:C7:FD:67:96,06:45:AC:10:FB:7E,#VALUE!
00:50:56:B1:00:87,ITS800-WAP-XA02,128.122.215.117,#N/A,#N/A,#N/A,#N/A,06:32:45:98:06:20-06:FB:88:68:0E:C0,06:32:45:98:06:20,#VALUE!
00:50:56:B1:00:88,ITS800-WAP-XA03,128.122.215.118,#N/A,#N/A,#N/A,#N/A,06:8C:0E:5C:1B:48-06:FB:8F:6E:4E:46,06:8C:0E:5C:1B:48,#VALUE!
00:50:56:B1:00:89,ITS800-WAP-XA04,128.122.215.119,#N/A,#N/A,#N/A,#N/A,06:04:97:C8:12:E0-06:46:6C:F4:BC:9E,06:04:97:C8:12:E0,#VALUE!
00:50:56:B1:00:9C,ITS800-WAP-XA05,128.122.215.124,#N/A,#N/A,#N/A,#N/A,06:87:78:37:86:40-06:A4:B6:91:B9:5C,06:87:78:37:86:40,#VALUE!
B8:CA:3A:84:AE:4D,ITS8569WK-W7,128.122.229.227,ITS8569WK-W7,128.122.229.227,Match,Match,06:2B:21:A1:5E:AE-06:FC:61:63:5C:FA,06:2B:21:A1:5E:AE,#VALUE!
34:17:EB:A5:76:39,UDIADMI-ND5OOAL,128.122.229.237,WINDOWS-01L0OO8,172.22.44.108,No Match,No Match,06:F3:E7:77:F5:6C-06:FF:C8:D9:9D:94,06:F3:E7:77:F5:6C,#VALUE!
A8:20:66:52:CA:8C,fivehorizons,128.122.38.177,#N/A,#N/A,#N/A,#N/A,06:50:C7:CF:84:F6-06:5A:22:2B:E0:6E,06:50:C7:CF:84:F6,#VALUE!
00:3E:E1:C8:F6:A8,ATREIDES,128.122.44.101,#N/A,#N/A,#N/A,#N/A,06:1A:E9:94:B8:EE-06:1C:4B:41:0E:A8,06:1A:E9:94:B8:EE,#VALUE!
18:66:DA:25:E7:13,UDIADMI-9L182IA,128.122.44.119,#N/A,#N/A,#N/A,#N/A,06:CD:5D:25:C2:E4-06:FD:28:A6:2C:78,06:CD:5D:25:C2:E4,#VALUE!
90:B1:1C:A1:E5:D8,UDIADMI-DNRL3MA,128.122.44.120,#N/A,#N/A,#N/A,#N/A,06:4E:EE:E9:88:2C-06:AE:68:CC:FC:EA,06:4E:EE:E9:88:2C,#VALUE!
34:17:EB:A5:BD:0B,ITS8486WK-W7,128.122.91.50,MININT-1UNV56I,192.168.26.132,No Match,No Match,06:60:C9:4A:B0:A8-06:7D:D6:2C:4C:B0,06:60:C9:4A:B0:A8,#VALUE!
34:17:EB:A5:BD:0B,ITS8486WK-W7,128.122.91.50,MININT-1UNV56I,192.168.26.132,No Match,No Match,06:04:0F:45:A7:66-06:D1:D6:D9:6C:BE,06:04:0F:45:A7:66,#VALUE!
34:17:EB:A4:FB:0D,ITS8487WK-W7,128.122.91.57,UDIADMI-JER545L,128.122.91.57,Match,No Match,06:82:34:3D:C2:62-06:FB:95:CD:7E:58,06:82:34:3D:C2:62,#VALUE!
34:17:EB:A4:FB:0D,ITS8487WK-W7,128.122.91.57,UDIADMI-JER545L,128.122.91.57,Match,No Match,06:17:B8:8E:2F:86-06:92:EC:03:15:9E,06:17:B8:8E:2F:86,#VALUE!
60:03:08:97:FC:C6,ITS8295LP-MX ,172.17.19.192,its8295lp-mx-.local,172.30.41.8,No Match,No Match,06:2A:4C:50:72:D8-06:62:12:8F:5E:4A,06:2A:4C:50:72:D8,#VALUE!
34:E6:D7:55:20:81,ITS8310WK-W7,172.17.20.114,ITS8310WK-W7,128.122.44.86,No Match,Match,06:3D:5E:32:1B:56-06:A5:8B:F5:3B:CC,06:3D:5E:32:1B:56,#VALUE!
34:E6:D7:55:23:75,ITS8311WK-W7,172.17.23.63,ITS8311WK-W7,172.22.44.85,No Match,Match,06:41:27:6A:30:06-06:4D:6F:9D:20:1E,06:41:27:6A:30:06,#VALUE!
60:03:08:98:08:44,ITS8292LP-MX,172.17.3.49,its8292lp-mx.local,172.17.3.49,Match,No Match,06:0D:38:6D:58:C8-06:0F:20:AB:01:CE,06:0D:38:6D:58:C8,#VALUE!
60:03:08:98:03:56,ITS8296LP-MX,172.17.32.45,its8296lp-mx.local,172.17.34.187,No Match,No Match,06:18:50:B2:13:34-06:B7:72:CD:3E:46,06:18:50:B2:13:34,#VALUE!
0C:4D:E9:9E:DA:AA,ITS8809WK-MX,172.17.34.143,its8809wk-mx.local,172.17.34.143,Match,No Match,06:AC:78:25:AA:46-06:C8:31:A7:EC:78,06:AC:78:25:AA:46,#VALUE!
60:03:08:97:C9:1E,ITS8291LP-MX,172.17.38.81,its8291lp-mx.local,172.17.37.230,No Match,No Match,06:07:9E:5F:5B:AE-06:09:0C:D0:D2:2E,06:07:9E:5F:5B:AE,#VALUE!
34:E6:D7:5D:14:6D,ITS8313WK-W7,172.17.4.168,ITS8313WK-W7,172.22.44.57|169.254.204.150,No Match,Match,06:C6:D0:96:C4:94-06:ED:D6:0A:A1:DE,06:C6:D0:96:C4:94,#VALUE!
98:5A:EB:CF:6D:9B,NYU-DC-iMac-03,172.17.45.118,nyu-dc-imac-03.local,172.17.45.118,Match,No Match,06:96:08:87:F4:E2-06:E0:2E:47:2C:9A,06:96:08:87:F4:E2,#VALUE!
0C:4D:E9:9E:F8:32,ITS8615WK-MX,172.17.47.96,its8615wk-mx.local,172.17.42.234,No Match,No Match,06:9B:E2:21:D7:62-06:CA:1F:20:63:B0,06:9B:E2:21:D7:62,#VALUE!
98:5A:EB:CF:6D:55,NYU-DC-iMac-08,172.17.59.100,nyu-dc-imac-08.local,172.17.63.24,No Match,No Match,06:05:46:6E:20:1A-06:67:77:38:B0:A0,06:05:46:6E:20:1A,#VALUE!
